Date,Cattle,Steers,Heifers,Beef cows,Dairy cows,Bulls and stags,Calves,Hogs,Barrows and gilts,Sows,Boars and stags,Sheep and lambs,Lambs and yearlings,Mature sheep,Broilers,Other chickens,Turkeys
Sep-2019,"2,676.7","1,278.2",830.8,258.3,259.7,49.6,49.0,"10,647.4","10,376.5",239.7,31.2,179.4,168.4,11.0,"766,993.0","9,714.0","18,130.0"
Aug-2019,"2,926.2","1,462.1",878.1,265.3,270.2,50.5,50.9,"10,867.0","10,589.3",246.3,31.4,201.5,188.7,12.8,"804,355.0","10,044.0","20,316.0"
Jul-2019,"2,938.3","1,511.3",852.9,266.4,260.0,47.8,53.7,"10,578.2","10,301.2",255.0,22.0,188.3,176.7,11.6,"814,385.0","9,015.0","19,484.0"
Jun-2019,"2,804.9","1,475.4",783.1,262.3,234.2,49.9,44.4,"9,988.7","9,715.9",243.1,29.6,175.3,165.1,10.2,"738,489.0","9,082.0","18,564.0"
May-2019,"2,939.0","1,544.0",812.9,271.7,261.6,48.7,46.2,"10,354.3","10,067.3",253.9,33.1,209.2,196.7,12.5,"803,158.0","10,114.0","19,104.0"
Apr-2019,"2,829.2","1,436.7",801.3,271.2,272.4,47.6,42.8,"10,582.6","10,292.4",257.1,33.1,235.9,222.9,13.0,"758,037.0","9,649.0","18,436.0"
Mar-2019,"2,649.5","1,240.7",809.5,251.8,307.0,40.5,45.8,"10,724.4","10,440.7",250.4,33.3,190.7,181.4,9.3,"730,928.0","9,403.0","18,028.0"
Feb-2019,"2,454.7","1,174.9",735.0,228.7,283.4,32.7,48.5,"10,104.2","9,839.8",235.2,29.2,169.3,161.2,8.1,"697,844.0","8,708.0","17,476.0"
Jan-2019,"2,830.2","1,376.3",850.6,261.8,303.1,38.4,53.8,"11,042.4","10,741.9",266.7,33.8,186.8,177.6,9.2,"788,098.0","10,360.0","19,517.0"
Dec-2018,"2,580.2","1,271.5",764.2,240.5,264.9,39.0,53.6,"10,460.5","10,192.1",240.2,28.2,201.8,190.2,11.6,"689,771.0","8,831.0","17,288.0"
Nov-2018,"2,800.8","1,391.5",835.2,260.2,271.8,42.1,55.5,"11,040.1","10,754.1",255.0,31.0,195.3,185.4,9.9,"729,068.0","10,161.0","20,732.0"
Oct-2018,"2,959.5","1,474.9",856.4,284.0,293.3,51.0,53.8,"11,644.6","11,326.4",281.1,37.1,199.9,189.3,10.6,"819,956.0","11,711.0","23,876.0"
Sep-2018,"2,617.3","1,332.1",753.9,235.6,251.3,44.5,48.6,"9,649.4","9,389.3",228.2,31.9,172.2,163.0,9.2,"719,006.0","9,618.0","17,543.0"
Aug-2018,"2,977.8","1,535.0",840.0,268.5,283.6,50.8,52.5,"11,155.3","10,850.0",270.1,35.2,205.4,193.0,12.4,"822,867.0","11,997.0","21,129.0"
Jul-2018,"2,765.8","1,430.2",783.1,262.3,243.1,47.1,47.9,"9,594.1","9,321.5",241.8,30.8,180.0,169.4,10.6,"775,038.0","11,157.0","19,897.0"
Jun-2018,"2,878.8","1,545.9",775.3,265.7,240.6,51.2,45.2,"9,606.6","9,328.9",247.2,30.5,180.6,170.3,10.3,"744,790.0","11,225.0","19,600.0"
May-2018,"2,907.4","1,567.0",768.8,271.6,248.4,51.6,46.5,"10,217.9","9,923.7",261.7,32.5,201.8,191.0,10.8,"794,062.0","11,150.0","20,653.0"
Apr-2018,"2,639.5","1,387.0",705.4,248.2,252.8,46.1,42.9,"9,993.2","9,717.8",245.8,29.6,181.5,170.8,10.7,"731,074.0","10,523.0","19,131.0"
Mar-2018,"2,701.6","1,348.2",766.1,250.0,291.3,46.0,43.7,"10,722.6","10,432.5",259.0,31.1,201.5,192.3,9.2,"742,817.0","10,431.0","19,049.0"
Feb-2018,"2,417.9","1,196.3",695.7,224.1,265.0,36.8,41.2,"9,636.7","9,369.7",238.0,29.0,164.3,156.9,7.4,"693,788.0","9,414.0","18,109.0"
Jan-2018,"2,758.1","1,405.8",759.7,258.7,294.5,39.4,49.0,"10,714.4","10,418.4",264.2,31.8,180.6,172.3,8.3,"772,267.0","10,188.0","19,853.0"
Dec-2017,"2,580.4","1,303.4",746.7,237.3,250.9,42.1,46.4,"10,460.6","10,184.9",242.8,32.9,188.1,179.5,8.6,"704,485.0","10,326.0","18,062.0"
Nov-2017,"2,762.8","1,387.0",815.7,268.0,247.0,45.2,42.5,"10,548.0","10,264.6",251.2,32.2,187.4,178.4,9.0,"728,307.0","11,163.0","21,925.0"
Oct-2017,"2,801.3","1,422.3",809.2,256.5,265.6,47.8,44.0,"10,997.8","10,703.8",260.5,33.5,183.5,174.6,8.9,"783,000.0","11,358.0","23,008.0"
Sep-2017,"2,698.9","1,409.7",759.5,227.8,253.8,48.1,43.6,"10,287.1","10,020.2",234.3,32.6,176.4,166.4,10.0,"728,356.0","10,531.0","19,023.0"
Aug-2017,"2,943.5","1,574.4",799.9,245.1,269.4,54.7,46.2,"10,662.2","10,368.8",258.4,35.0,194.6,183.7,10.9,"809,685.0","12,170.0","22,300.0"
